Zone ID,FC Abbreviation,Zone Name,Christmas or New Years,Pack Date,Delivery Date,Custo Open Date / Time,Custo Close Date / Time,Dispatch Date / Time
37fd4319-9f53-48d2-b310-631aa57e1d5e,BWI,EWR: THURSDAY PM,New Years,1/5/2023,1/6/2023,"Monday, 01/02 - 01:00 PM","Tuesday, 01/03 - 03:00 PM","Tuesday, 01/03 - 09:00 PM"
b7f9cea9-5dba-4d3e-ab2f-14072106155e,BWI,EWR: WEDNESDAY PM,New Years,1/4/2023,1/5/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
df848bfc-b257-494a-884c-3ef9ae57aa83,CHI,DTW: TUESDAY PM,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 02:00 PM","Sunday, 01/01 - 11:00 AM","Sunday, 01/01 - 05:00 PM"
ccbbc746-17c8-489c-91e4-537cb18b5bd4,CHI,DTW: THURSDAY PM,New Years,1/4/2023,1/5/2023,"Monday, 01/02 - 12:00 PM","Tuesday, 01/03 - 02:00 PM","Tuesday, 01/03 - 08:00 PM"
f5a46292-383b-4c03-81fe-059d42a235a9,CHI,DTW: FRIDAY PM,New Years,1/5/2023,1/6/2023,"Monday, 01/02 - 12:00 PM","Wednesday, 01/04 - 11:00 AM","Wednesday, 01/04 - 05:00 PM"
033f0fd7-35a0-4a76-a252-b6e61542c029,CHI,DTW: WEDNESDAY PM,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 02:00 PM","Monday, 01/02 - 11:00 AM","Monday, 01/02 - 05:00 PM"
ddfdca1a-a717-4480-8566-a203958389c2,BWI,BOS: FRIDAY PM,New Years,1/5/2023,1/6/2023,"Monday, 01/02 - 01:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 06:00 PM"
354f6497-6a26-4e63-acdc-2fc148e8a2cf,BWI,BOS: TUESDAY PM,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 06:00 PM"
7f177998-0e15-42f4-9c54-902968a6d9a9,BWI,BOS: THURSDAY PM,New Years,1/4/2023,1/5/2023,"Monday, 01/02 - 01:00 PM","Tuesday, 01/03 - 03:00 PM","Tuesday, 01/03 - 09:00 PM"
e4057652-7bf6-4b61-ad93-e629b3b732d9,BWI,BOS: WEDNESDAY PM,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
